Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
1635,2019-01-16,15:02:57.006866,17:13:03.575695,2.1685
0115,2019-01-16,15:03:00.278734,17:30:39.216571,2.4608
2220,2019-01-16,15:03:16.244340,17:12:36.645689,2.1557
6287,2019-01-16,15:03:24.526239,17:28:46.535029,2.4228
7001,2019-01-16,15:03:25.982077,16:31:59.980335,1.4761
1281,2019-01-16,15:03:33.147976,16:52:51.458716,1.8218
3646,2019-01-16,15:03:36.221852,16:34:47.831206,1.5199
1018,2019-01-16,15:03:39.306622,16:30:15.676315,1.4434
0873,2019-01-16,15:03:43.401687,16:29:36.249930,1.4313
0644,2019-01-16,15:03:46.283827,17:08:15.359576,2.0747
0246,2019-01-16,15:03:56.473534,15:51:48.072965,0.7977
4148,2019-01-16,15:04:02.898910,17:13:09.245834,2.1518
1246,2019-01-16,15:04:05.053195,16:15:01.302450,1.1823
3255,2019-01-16,15:04:07.251634,16:25:24.442940,1.3548
2222,2019-01-16,15:04:11.749430,17:01:54.906369,1.962
4201,2019-01-16,15:04:17.458915,15:54:52.439443,0.8431
9645,2019-01-16,15:04:24.862710,18:00:20.282709,2.9321
6502,2019-01-16,15:04:31.392666,17:56:34.569160,2.8675
0700,2019-01-16,15:04:41.242691,17:50:58.041849,2.7713
7426,2019-01-16,15:05:03.755892,,0
0251,2019-01-16,15:05:48.035057,15:34:26.397259,0.4773
3276,2019-01-16,15:05:52.061056,18:21:06.783181,3.2541
7409,2019-01-16,15:06:42.543959,16:15:54.547068,1.1533
0393,2019-01-16,15:07:17.837348,16:06:16.585612,0.983
1105,2019-01-16,15:08:29.608019,17:09:20.307040,2.0141
6960,2019-01-16,15:08:33.141950,17:04:29.080330,1.9322
6099,2019-01-16,15:08:34.476211,18:11:17.271786,3.0452
5051,2019-01-16,15:09:35.410919,16:16:32.211343,1.1158
7938,2019-01-16,15:16:23.977433,16:12:25.168455,0.9337
9227,2019-01-16,15:32:22.492227,16:44:32.153459,1.2027
9949,2019-01-16,15:42:25.155346,16:51:20.682773,1.1488
3624,2019-01-16,15:48:01.230705,17:55:58.437204,2.1326
7624,2019-01-16,15:56:17.998752,16:30:00.654086,0.5618
7780,2019-01-16,15:56:23.036987,17:00:09.504399,1.0629
7453,2019-01-16,15:56:30.990563,17:00:32.344403,1.067
1136,2019-01-16,16:31:43.856361,17:32:14.258412,1.0084
2173,2019-01-16,16:50:02.026935,,0
4201,2019-01-16,17:21:59.189541,18:30:15.306747,1.1378
6287,2019-01-16,17:29:02.076684,17:56:31.413203,0.4581
1565,2019-01-16,17:29:05.284699,17:56:19.643170,0.454
1312,2019-01-16,18:29:15.288596,18:30:14.788458,0.0165
9528,2019-01-16,18:47:05.820419,18:47:10.308281,0.0012
1844,2019-01-17,14:56:27.376102,16:55:26.586582,1.9831
5086,2019-01-17,14:59:54.771342,18:16:08.616399,3.2705
1281,2019-01-17,15:01:38.643436,18:04:55.354542,3.0546
5897,2019-01-17,15:01:58.271179,15:47:44.207753,0.7628
2395,2019-01-17,15:02:04.899049,16:25:19.785519,1.3875
2047,2019-01-17,15:02:07.761045,16:29:41.078986,1.4593
3276,2019-01-17,15:02:10.037238,18:13:45.165497,3.1931
0115,2019-01-17,15:02:32.649688,15:59:56.324422,0.9566
1018,2019-01-17,15:02:37.865021,16:06:27.601358,1.0638
1635,2019-01-17,15:02:58.139089,17:00:56.852134,1.9663
0644,2019-01-17,15:03:03.094938,18:08:14.378190,3.0865
0641,2019-01-17,15:03:06.447048,15:14:16.818192,0.1862
9227,2019-01-17,15:03:08.921265,17:00:19.376190,1.9529
2169,2019-01-17,15:03:12.187078,17:59:06.537155,2.9318
2220,2019-01-17,15:03:14.375054,18:13:00.113355,3.1627
7780,2019-01-17,15:03:27.134910,15:05:40.368831,0.037
7001,2019-01-17,15:03:31.345111,18:14:44.300767,3.1869
1312,2019-01-17,15:03:38.417007,18:08:45.192163,3.0852
0246,2019-01-17,15:03:40.696956,18:14:39.743060,3.1831
0700,2019-01-17,15:03:50.800937,,0
2009,2019-01-17,15:03:52.254832,16:30:27.339059,1.4431
6163,2019-01-17,15:03:55.792999,16:11:31.562950,1.1266
3646,2019-01-17,15:03:59.794967,16:46:22.525369,1.7063
2222,2019-01-17,15:04:06.864783,15:12:01.180436,0.1318
9949,2019-01-17,15:04:37.876970,16:48:01.851540,1.7233
1136,2019-01-17,15:04:56.548828,17:05:25.687585,2.0081
4201,2019-01-17,15:05:04.534832,18:17:46.379926,3.2116
3255,2019-01-17,15:05:30.132842,16:30:46.779004,1.4213
7409,2019-01-17,15:05:53.608683,16:41:43.994373,1.5973
0251,2019-01-17,15:06:25.282695,16:12:02.586633,1.0937
8518,2019-01-17,15:06:41.766541,16:18:29.978185,1.1967
7938,2019-01-17,15:07:20.566625,16:01:30.490059,0.9028
7624,2019-01-17,15:07:53.502566,15:10:22.034132,0.0413
0809,2019-01-17,15:08:02.040495,15:38:20.954107,0.5053
1105,2019-01-17,15:08:15.368397,17:14:54.586389,2.1109
9528,2019-01-17,15:08:17.648533,18:16:14.246414,3.1324
7780,2019-01-17,15:08:47.600264,16:30:22.903259,1.3598
5917,2019-01-17,15:09:15.850503,15:43:07.876187,0.5645
7453,2019-01-17,15:09:54.480819,16:54:33.670510,1.7442
0898,2019-01-17,15:10:01.312324,15:38:16.538268,0.4709
5051,2019-01-17,15:10:16.594260,16:41:25.773867,1.5192
7624,2019-01-17,15:10:23.904375,16:54:47.698723,1.7399
2297,2019-01-17,15:11:46.914251,16:48:05.153260,1.6051
3439,2019-01-17,15:13:39.507835,16:35:13.110471,1.3593
0969,2019-01-17,15:16:07.183486,,0
8144,2019-01-17,15:17:27.875587,16:09:50.128832,0.8728
7021,2019-01-17,16:29:40.972989,,0
1844,2019-01-17,17:06:58.885184,18:08:00.530191,1.0171
9302,2019-01-17,17:46:52.818418,17:46:54.536456,0.0005
9302,2019-01-17,17:46:56.390416,,0
9645,2019-01-17,17:48:21.970272,18:14:53.828752,0.4422
1844,2019-01-17,18:08:01.762183,18:17:32.752156,0.1586
6099,2019-01-18,14:31:33.554957,19:05:59.134993,4.5738
2097,2019-01-18,14:48:54.507500,,0
1844,2019-01-18,14:53:37.097921,17:49:19.111079,2.9283
6542,2019-01-18,15:00:46.715948,16:31:20.628382,1.5094
2047,2019-01-18,15:01:30.651967,16:44:54.988193,1.7234
5897,2019-01-18,15:01:34.324145,16:50:08.729473,1.8096
3524,2019-01-18,15:01:41.742011,17:02:05.280412,2.0065
5086,2019-01-18,15:01:45.586095,18:57:05.968028,3.9223
6143,2019-01-18,15:01:56.315981,16:59:29.364396,1.9592
1312,2019-01-18,15:02:02.420059,19:09:42.866556,4.1279
1136,2019-01-18,15:02:05.492073,16:57:05.786534,1.9167
2313,2019-01-18,15:02:24.021987,16:39:09.193090,1.6125
6163,2019-01-18,15:02:30.050431,17:15:45.127509,2.2209
0644,2019-01-18,15:02:31.804130,19:06:41.189064,4.0693
4148,2019-01-18,15:02:33.258175,17:25:10.928667,2.3771
2169,2019-01-18,15:02:35.824117,16:59:43.084400,1.952
2395,2019-01-18,15:02:41.391935,16:56:31.380617,1.8972
0246,2019-01-18,15:02:45.122048,17:55:17.478409,2.8757
1281,2019-01-18,15:02:48.446075,17:43:45.427920,2.6825
3276,2019-01-18,15:02:54.248046,18:40:14.535258,3.6223
7001,2019-01-18,15:02:56.032042,18:54:29.018479,3.8592
9645,2019-01-18,15:03:05.562111,18:04:14.865171,3.0193
3624,2019-01-18,15:03:08.334119,17:42:21.558141,2.6537
8518,2019-01-18,15:03:12.612127,17:03:35.082202,2.0062
0873,2019-01-18,15:03:15.208126,16:33:57.895758,1.5119
